"","V1","Loop_number","No_loop","Loop"
"1","aceK",8,0,1
"2","acnA",26,0,1
"3","add",0,0,1
"4","ahpF",6,0,1
"5","alaT",10,0,1
"6","alaU",11,0,1
"7","aroA",0,0,1
"8","aroH",0,0,1
"9","aroP",12,0,1
"10","bcsE",0,0,1
"11","cyaA",0,0,1
"12","cyoB",41,0,1
"13","dadA",0,0,1
"14","dadX",0,0,1
"15","acrR",0,0,1
"16","alx",0,0,1
"17","atpH",0,0,1
"18","bax",0,0,1
"19","bioB",0,0,1
"20","borD",1,0,1
"21","btuB",0,0,1
"22","cirA",9,0,1
"23","cpxA",6,0,1
"24","cpxR",3,0,1
"25","dcuR",3,0,1
"26","artM",3,0,1
"27","asnA",4,0,1
"28","aspA",7,0,1
"29","atpA",0,0,1
"30","atpB",0,0,1
"31","atpC",0,0,1
"32","atpD",0,0,1
"33","atpE",0,0,1
"34","atpF",0,0,1
"35","atpG",0,0,1
"36","atpI",0,0,1
"37","aer",10,0,1
"38","cca",0,0,1
"39","cdd",0,0,1
"40","cheA",1,0,1
"41","cheB",3,0,1
"42","cheR",3,0,1
"43","cheW",1,0,1
"44","cheY",3,0,1
"45","cheZ",3,0,1
"46","clpB",1,0,1
"47","clpX",8,0,1
"48","deoA",2,0,1
"49","deoB",4,0,1
"50","deoC",2,0,1
"51","deoD",2,0,1
"52","dapB",0,0,1
"53","dcyD",0,0,1
"54","dhaM",0,0,1
"55","dhaK",4,0,1
"56","edd",2,0,1
"57","eno",4,0,1
"58","fdoG",2,0,1
"59","fimA",21,0,1
"60","fimC",21,0,1
"61","fimI",21,0,1
"62","flgH",22,0,1
"63","flhA",22,0,1
"64","flhE",22,0,1
"65","fliP",32,0,1
"66","fliQ",32,0,1
"67","fliR",32,0,1
"68","fumA",11,0,1
"69","gapC",0,0,1
"70","dcuS",1,0,1
"71","dppC",13,0,1
"72","dusA",0,0,1
"73","eco",0,0,1
"74","fdhD",0,0,1
"75","fhuD",0,0,1
"76","folP",0,0,1
"77","frdA",16,0,1
"78","frdC",11,0,1
"79","ftnB",8,0,1
"80","fucI",4,0,1
"81","gcvH",7,0,1
"82","carA",23,0,1
"83","coaA",0,0,1
"84","codB",1,0,1
"85","cspD",4,0,1
"86","cvpA",1,0,1
"87","cydA",2,0,1
"88","cydB",2,0,1
"89","cydC",11,0,1
"90","cydD",7,0,1
"91","dnaJ",0,0,1
"92","dnaK",0,0,1
"93","dsbC",12,0,1
"94","fdoH",0,0,1
"95","flgB",22,0,1
"96","flgC",22,0,1
"97","flgD",22,0,1
"98","flgE",22,0,1
"99","flgF",22,0,1
"100","flgG",22,0,1
"101","flgI",22,0,1
"102","flgJ",22,0,1
"103","flgK",0,0,1
"104","flgL",0,0,1
"105","gatA",1,0,1
"106","gatB",1,0,1
"107","gatC",1,0,1
"108","gatD",1,0,1
"109","gatZ",1,0,1
"110","glcC",5,0,1
"111","gltA",10,0,1
"112","gltB",65,0,1
"113","gltD",65,0,1
"114","gpmA",5,0,1
"115","grxA",0,0,1
"116","gshA",0,0,1
"117","gshB",0,0,1
"118","hemB",1,0,1
"119","hsdR",0,0,1
"120","hsdS",0,0,1
"121","hslJ",0,0,1
"122","iap",0,0,1
"123","idi",0,0,1
"124","ispF",0,0,1
"125","kgtP",1,0,1
"126","lipA",0,0,1
"127","lldD",0,0,1
"128","lpxD",7,0,1
"129","lysC",0,0,1
"130","map",15,0,1
"131","marB",40,0,1
"132","marR",25,0,1
"133","mdaB",3,0,1
"134","mdtG",0,0,1
"135","menF",0,0,1
"136","metN",0,0,1
"137","mltC",0,0,1
"138","mqo",1,0,1
"139","murE",3,0,1
"140","murF",3,0,1
"141","nfsA",7,0,1
"142","nuoC",29,0,1
"143","nuoN",41,0,1
"144","pdhR",5,0,1
"145","pdxY",0,0,1
"146","proP",7,0,1
"147","rbsA",4,0,1
"148","rbsC",4,0,1
"149","rcsA",5,0,1
"150","rimI",0,0,1
"151","rpoE",55,0,1
"152","rseA",74,0,1
"153","rseB",61,0,1
"154","sdhA",4,0,1
"155","sdhB",4,0,1
"156","serV",0,0,1
"157","gcvT",6,0,1
"158","glgS",4,0,1
"159","glpA",68,0,1
"160","hflC",2,0,1
"161","hflK",2,0,1
"162","hflX",2,0,1
"163","htpX",4,0,1
"164","ilvB",1,0,1
"165","ilvG",0,0,1
"166","ilvN",0,0,1
"167","ivbL",1,0,1
"168","katG",17,0,1
"169","maa",0,0,1
"170","manX",24,0,1
"171","mhpC",1,0,1
"172","miaA",1,0,1
"173","mutL",1,0,1
"174","nadA",0,0,1
"175","nmpC",0,0,1
"176","nrdD",3,0,1
"177","nrdG",4,0,1
"178","rppH",0,0,1
"179","yjdM",0,0,1
"180","pitA",1,0,1
"181","pntA",1,0,1
"182","ppiA",1,0,1
"183","pppA",0,0,1
"184","proV",12,0,1
"185","purD",3,0,1
"186","purL",1,0,1
"187","purN",2,0,1
"188","putA",1,0,1
"189","recR",0,0,1
"190","rpoH",44,0,1
"191","rzpD",0,0,1
"192","sdaB",0,0,1
"193","sdaC",0,0,1
"194","secD",0,0,1
"195","dedA",0,0,1
"196","dinI",1,0,1
"197","dinJ",2,0,1
"198","eptB",4,0,1
"199","fadL",48,0,1
"200","folD",0,0,1
"201","fucR",0,0,1
"202","glmU",0,0,1
"203","glpB",51,0,1
"204","glpC",51,0,1
"205","flgM",67,0,1
"206","flgN",60,0,1
"207","fliA",77,0,1
"208","fliC",9,0,1
"209","fliD",36,0,1
"210","fliE",60,0,1
"211","fliF",69,0,1
"212","fliG",69,0,1
"213","fliH",69,0,1
"214","fliI",69,0,1
"215","fliJ",69,0,1
"216","fliK",69,0,1
"217","fliL",32,0,1
"218","fliM",32,0,1
"219","fliN",32,0,1
"220","fliO",32,0,1
"221","glpX",0,0,1
"222","glyA",0,0,1
"223","hisF",0,0,1
"224","hisH",0,0,1
"225","hisI",0,0,1
"226","hisJ",8,0,1
"227","ispE",0,0,1
"228","malT",4,0,1
"229","fliS",32,0,1
"230","fliT",32,0,1
"231","fliZ",89,0,1
"232","galM",12,0,1
"233","gdhA",13,0,1
"234","yhgH",1,0,1
"235","groL",1,0,1
"236","groS",3,0,1
"237","grpE",1,0,1
"238","hslO",0,0,1
"239","hslU",0,0,1
"240","hslV",0,0,1
"241","htpG",6,0,1
"242","ygiM",2,0,1
"243","osmB",3,0,1
"244","potD",0,0,1
"245","purA",4,0,1
"246","purC",0,0,1
"247","purH",5,0,1
"248","purK",0,0,1
"249","purM",2,0,1
"250","pyrB",0,0,1
"251","pyrC",1,0,1
"252","pyrL",0,0,1
"253","srkA",0,0,1
"254","lipB",1,0,1
"255","lon",13,0,1
"256","modB",1,0,1
"257","motA",1,0,1
"258","motB",1,0,1
"259","nhaB",0,0,1
"260","nlpA",1,0,1
"261","nupG",0,0,1
"262","ompT",2,0,1
"263","prlC",0,0,1
"264","rbsB",7,0,1
"265","rbsD",4,0,1
"266","rbsK",7,0,1
"267","ymcE",0,0,1
"268","tusA",0,0,1
"269","yggI",0,0,1
"270","sthA",4,0,1
"271","sucA",32,0,1
"272","sucD",29,0,1
"273","tas",0,0,1
"274","tehA",0,0,1
"275","thrC",0,0,1
"276","trpB",3,0,1
"277","uspD",2,0,1
"278","xseA",3,0,1
"279","sgrR",0,0,1
"280","yagU",0,0,1
"281","ybaK",0,0,1
"282","ybfD",0,0,1
"283","cpoB",0,0,1
"284","hcxB",0,0,1
"285","ybjC",6,0,1
"286","tatD",0,0,1
