"","V1","FFL","No_FFL","C_Ho_N","C_Ho_P","C_He_N","C_He_N.1","I_Ho_N","I_Ho_P","I_He_N","I_He_N.1","NP_X"
"1","hisC",0,1,0,0,0,0,0,0,0,0,0
"2","livK",0,1,0,0,0,0,0,0,0,0,0
"3","tesA",0,1,0,0,0,0,0,0,0,0,0
"4","trpD",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"5","tcyL",0,1,0,0,0,0,0,0,0,0,0
"6","garD",0,1,0,0,0,0,0,0,0,0,0
"7","garL",1,0,0,0.25,0,0.25,0,0,0.5,0,0
"8","sgbH",1,0,0,0.3,0.2,0,0,0.4,0.1,0,0
"9","uxuB",1,0,0,0.111111111111111,0.111111111111111,0,0.222222222222222,0,0.555555555555556,0,0
"10","hcxB",0,1,0,0,0,0,0,0,0,0,0
"11","rihA",0,1,0,0,0,0,0,0,0,0,0
"12","rihC",0,1,0,0,0,0,0,0,0,0,0
"13","ccmC",1,0,0,0.5,0.166666666666667,0,0,0,0.333333333333333,0,0
"14","nohD",0,1,0,0,0,0,0,0,0,0,0
"15","sbcB",0,1,0,0,0,0,0,0,0,0,0
"16","insH10",0,1,0,0,0,0,0,0,0,0,0
"17","insH11",0,1,0,0,0,0,0,0,0,0,0
"18","insH3",0,1,0,0,0,0,0,0,0,0,0
"19","insH4",0,1,0,0,0,0,0,0,0,0,0
"20","insH5",0,1,0,0,0,0,0,0,0,0,0
"21","insH6",0,1,0,0,0,0,0,0,0,0,0
"22","insH7",0,1,0,0,0,0,0,0,0,0,0
"23","insH8",0,1,0,0,0,0,0,0,0,0,0
"24","insH9",0,1,0,0,0,0,0,0,0,0,0
"25","dgcT",1,0,0,0,0,0,0,0,1,0,0
"26","fabR",0,1,0,0,0,0,0,0,0,0,0
"27","grcA",1,0,0,0.375,0,0,0,0.125,0.5,0,0
"28","cdaR",0,1,0,0,0,0,0,0,0,0,0
"29","alaE",0,1,0,0,0,0,0,0,0,0,0
"30","yhcE",0,1,0,0,0,0,0,0,0,0,0
"31","iraD",1,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0.571428571428571,0,0
"32","ymfL",0,1,0,0,0,0,0,0,0,0,0
"33","borD",1,0,0,0,0,0.5,0,0,0.5,0,0
"34","btuB",1,0,0,0,0,0,0,0,1,0,0
"35","cirA",1,0,0,0.25,0.25,0.125,0,0,0.375,0,0
"36","asnA",1,0,0,0.285714285714286,0,0.428571428571429,0,0,0.285714285714286,0,0
"37","dcyD",0,1,0,0,0,0,0,0,0,0,0
"38","fliQ",1,0,0,1,0,0,0,0,0,0,0
"39","hsdR",0,1,0,0,0,0,0,0,0,0,0
"40","lysC",0,1,0,0,0,0,0,0,0,0,0
"41","nmpC",0,1,0,0,0,0,0,0,0,0,0
"42","pppA",0,1,0,0,0,0,0,0,0,0,0
"43","hisJ",1,0,0,0.8,0,0,0,0,0.2,0,0
"44","ompT",1,0,0,0,0,0.5,0,0,0.5,0,0
"45","sucD",1,0,0.111111111111111,0.222222222222222,0.111111111111111,0.0555555555555556,0.111111111111111,0.111111111111111,0.277777777777778,0,0
"46","ylaC",0,1,0,0,0,0,0,0,0,0,0
"47","yijD",0,1,0,0,0,0,0,0,0,0,0
"48","srlA",1,0,0,0.416666666666667,0.0833333333333333,0.0833333333333333,0,0,0.416666666666667,0,0
"49","srlB",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"50","srlD",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"51","srlE",1,0,0,0.5,0,0.1,0,0,0.4,0,0
"52","entE",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"53","fecA",1,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0
"54","fepA",1,0,0,0.333333333333333,0,0,0,0,0.666666666666667,0,0
"55","galK",1,0,0,0.25,0,0,0,0,0.75,0,0
"56","hybA",1,0,0,0,0,0,0,0,1,0,0
"57","malM",1,0,0,1,0,0,0,0,0,0,0
"58","folE",1,0,0,0,0,0,0,0,1,0,0
"59","lysP",0,1,0,0,0,0,0,0,0,0,0
"60","yddB",0,1,0,0,0,0,0,0,0,0,0
"61","araA",1,0,0,1,0,0,0,0,0,0,0
