"","V1","Loop_number","No_loop","Loop"
"1","metH",3,0,1
"2","mliC",0,0,1
"3","wcaF",0,0,1
"4","waaH",0,0,1
"5","ytfF",0,0,1
"6","hyfD",7,0,1
"7","aas",0,0,1
"8","trmJ",0,0,1
"9","tmk",0,0,1
"10","pspF",0,0,1
"11","psuK",0,0,1
"12","yfaX",0,0,1
"13","oxyR",5,0,1
"14","ridA",0,0,1
"15","glnQ",17,0,1
"16","ddpF",4,0,1
"17","ydeN",10,0,1
"18","yeaV",0,0,1
"19","fruB",23,0,1
"20","focB",7,0,1
"21","lgoT",0,0,1
"22","gmhB",0,0,1
"23","yaiY",0,0,1
"24","ldtB",0,0,1
"25","ycfJ",0,0,1
"26","ydcF",0,0,1
"27","mgrB",0,0,1
"28","letB",0,0,1
"29","yodD",0,0,1
"30","rcsD",0,0,1
"31","hda",0,0,1
"32","kbp",1,0,1
"33","ygaP",0,0,1
"34","lplT",0,0,1
"35","yhdN",1,0,1
"36","yhiJ",0,0,1
"37","yicN",0,0,1
"38","yjcB",2,0,1
"39","qorB",0,0,1
"40","bglJ",1,0,1
"41","cheR",3,0,1
"42","cheW",1,0,1
"43","dppC",13,0,1
"44","hslJ",0,0,1
"45","proP",7,0,1
"46","rcsA",5,0,1
"47","htpX",4,0,1
"48","miaA",1,0,1
"49","proV",12,0,1
"50","dinJ",2,0,1
"51","ybfA",0,0,1
"52","yccA",0,0,1
"53","ygiW",0,0,1
"54","yjiA",0,0,1
"55","yjiX",0,0,1
"56","btsT",3,0,1
"57","recA",0,0,1
"58","slt",2,0,1
"59","ybjX",0,0,1
"60","ynfB",5,0,1
"61","fadR",0,0,1
"62","mdtJ",1,0,1
"63","ndh",19,0,1
"64","oppD",12,0,1
"65","yjeJ",0,0,1
"66","yjgM",0,0,1
"67","pgpC",0,0,1
"68","yieP",0,0,1
"69","yciE",4,0,1
"70","yciF",3,0,1
"71","yciG",3,0,1
"72","mlrA",2,0,1
"73","fdhF",6,0,1
"74","nrfD",41,0,1
"75","ytfE",1,0,1
"76","glnL",8,0,1
"77","metJ",0,0,1
"78","yjjI",0,0,1
"79","fepD",0,0,1
"80","znuB",0,0,1
"81","ybiV",0,0,1
"82","galP",15,0,1
"83","ispA",0,0,1
"84","ypeC",0,0,1
"85","rplY",0,0,1
"86","soxS",16,0,1
"87","ynfM",0,0,1
"88","ivy",0,0,1
"89","pyrS",0,0,1
"90","ydbK",2,0,1
"91","rutD",7,0,1
"92","osmE",16,0,1
"93","rof",0,0,1
"94","holB",0,0,1
"95","ldhA",1,0,1
"96","rbfA",4,0,1
"97","proW",12,0,1
"98","rdgC",0,0,1
"99","nrdA",8,0,1
"100","evgA",5,0,1
"101","hprS",0,0,1
"102","dcrB",0,0,1
"103","psiE",1,0,1
"104","asnB",7,0,1
"105","ytfH",0,0,1
"106","bssS",3,0,1
"107","treF",0,0,1
"108","yeaY",0,0,1
"109","cbl",7,0,1
"110","pdeC",4,0,1
"111","yceK",0,0,1
"112","uspG",0,0,1
