"","V1","Loop_number","No_loop","Loop"
"1","hisC",0,0,1
"2","livK",0,0,1
"3","tesA",0,0,1
"4","trpD",3,0,1
"5","tcyL",0,0,1
"6","garD",0,0,1
"7","garL",3,0,1
"8","sgbH",19,0,1
"9","uxuB",9,0,1
"10","hcxB",0,0,1
"11","rihA",0,0,1
"12","rihC",0,0,1
"13","ccmC",33,0,1
"14","nohD",0,0,1
"15","sbcB",0,0,1
"16","insH10",0,0,1
"17","insH11",0,0,1
"18","insH3",0,0,1
"19","insH4",0,0,1
"20","insH5",0,0,1
"21","insH6",0,0,1
"22","insH7",0,0,1
"23","insH8",0,0,1
"24","insH9",0,0,1
"25","dgcT",2,0,1
"26","fabR",0,0,1
"27","grcA",13,0,1
"28","cdaR",0,0,1
"29","alaE",0,0,1
"30","yhcE",0,0,1
"31","iraD",12,0,1
"32","ymfL",0,0,1
"33","ypdK",0,0,1
"34","yjbT",0,0,1
"35","livJ",0,0,1
"36","malE",27,0,1
"37","ghxP",0,0,1
"38","ybdL",0,0,1
"39","bssS",3,0,1
"40","yibT",0,0,1
"41","metL",1,0,1
"42","metA",2,0,1
"43","atoD",5,0,1
"44","atoA",3,0,1
"45","rhaA",1,0,1
"46","ykgJ",0,0,1
"47","ybiJ",0,0,1
"48","azoR",0,0,1
"49","yncJ",0,0,1
"50","yhaK",0,0,1
"51","pspG",9,0,1
"52","chiX",0,0,1
"53","ybeD",1,0,1
"54","hspQ",1,0,1
"55","norR",0,0,1
"56","argH",0,0,1
"57","sokX",0,0,1
"58","micA",0,0,1
"59","bssR",0,0,1
"60","ldtE",0,0,1
"61","fklB",0,0,1
"62","tomB",2,0,1
"63","chiP",3,0,1
"64","chiQ",3,0,1
"65","dgcZ",14,0,1
"66","yoaI",0,0,1
"67","hisL",1,0,1
"68","yfgG",0,0,1
"69","gcvB",1,0,1
"70","ryhB",0,0,1
"71","ydcV",1,0,1
"72","patD",1,0,1
"73","rhaS",5,0,1
"74","osmY",44,0,1
"75","asr",7,0,1
"76","ycaC",1,0,1
"77","dps",34,0,1
