"","V1","FBL_number","No_FBL","FBL"
"1","yjcH",0,0,1
"2","trpC",0,0,1
"3","cspB",0,0,1
"4","ygeY",0,0,1
"5","hyuA",0,0,1
"6","xdhD",0,0,1
"7","flu",0,0,1
"8","ygfM",0,0,1
"9","mokA",0,0,1
"10","ygeX",0,0,1
"11","cspB",0,0,1
"12","fimF",0,0,1
"13","ygaY",0,0,1
"14","ttcC",0,0,1
"15","ompF",0,0,1
"16","puuA",0,0,1
"17","yceK",0,0,1
"18","uspG",0,0,1
"19","xanP",0,0,1
"20","ymdF",0,0,1
"21","cbpM",0,0,1
"22","yncL",0,0,1
"23","cfa",0,0,1
"24","slp",0,0,1
"25","dps",0,0,1
"26","fimA",0,0,1
"27","fimC",0,0,1
"28","fimI",0,0,1
"29","ilvB",0,0,1
"30","ilvN",0,0,1
"31","proV",0,0,1
"32","purM",0,0,1
"33","yqjD",0,0,1
"34","srlA",0,0,1
"35","srlB",0,0,1
"36","srlD",0,0,1
"37","srlE",0,0,1
"38","srlR",1,0,1
"39","gadE",69,0,1
"40","tdcE",0,0,1
"41","purT",0,0,1
"42","acs",0,0,1
"43","aroG",0,0,1
"44","cspG",0,0,1
"45","pspA",0,0,1
"46","pspB",0,0,1
"47","soxS",22,0,1
"48","cspI",0,0,1
"49","yqjE",0,0,1
"50","msyB",0,0,1
"51","ydfK",0,0,1
"52","ytjA",0,0,1
"53","ynfN",0,0,1
"54","purE",0,0,1
"55","ibpB",0,0,1
"56","yegP",0,0,1
"57","yghA",0,0,1
"58","ssnA",0,0,1
"59","yqjK",0,0,1
